,thresholds,precision,recall,f1_scores,matthews_corrcoef
1062,0.51589173,0.35260115606936415,0.42657342657342656,0.3860759493670886,0.21553670568404623
1063,0.51657695,0.3507246376811594,0.4230769230769231,0.38351822503961963,0.21248042955992305
1064,0.516884,0.35174418604651164,0.4230769230769231,0.38412698412698415,0.21350909404311302
1065,0.51828504,0.3498542274052478,0.4195804195804196,0.3815580286168521,0.21044630052297153
1066,0.5186078,0.3508771929824561,0.4195804195804196,0.38216560509554137,0.2114765465042453
1067,0.5186234,0.3519061583577713,0.4195804195804196,0.3827751196172249,0.21250964169414474
1068,0.5188119,0.35294117647058826,0.4195804195804196,0.3833865814696486,0.21354560854605234
1069,0.5191694,0.35398230088495575,0.4195804195804196,0.384,0.2145844697328293
1070,0.5195116,0.3520710059171598,0.4160839160839161,0.3814102564102564,0.21151124341404734
1071,0.51960546,0.35311572700296734,0.4160839160839161,0.38202247191011235,0.2125517470139873
1072,0.5199067,0.35119047619047616,0.4125874125874126,0.37942122186495175,0.20947173084738968
1073,0.5211103,0.3492537313432836,0.4090909090909091,0.37681159420289856,0.20638615012462894
1074,0.52240837,0.3473053892215569,0.40559440559440557,0.3741935483870968,0.20329495486366336
1075,0.52253455,0.3483483483483483,0.40559440559440557,0.37479806138933763,0.20433441888856463
1076,0.52394015,0.3463855421686747,0.4020979020979021,0.37216828478964403,0.20123618063117457
1077,0.52412486,0.3474320241691843,0.4020979020979021,0.3727714748784441,0.2022772252660432
1078,0.5245514,0.34545454545454546,0.3986013986013986,0.37012987012987014,0.19917183909278768
1079,0.52556694,0.3434650455927052,0.3951048951048951,0.367479674796748,0.19606063226907006
1080,0.5256603,0.3445121951219512,0.3951048951048951,0.36807817589576547,0.19710181852200304
1081,0.52571213,0.345565749235474,0.3951048951048951,0.36867862969004894,0.19814600878040944
1082,0.52572864,0.34662576687116564,0.3951048951048951,0.369281045751634,0.19919322753451385
1083,0.52599645,0.3476923076923077,0.3951048951048951,0.369885433715221,0.2002434995249134
1084,0.52672744,0.345679012345679,0.3916083916083916,0.36721311475409835,0.19712056655628643
1085,0.5269373,0.34674922600619196,0.3916083916083916,0.367816091954023,0.19817245007261156
1086,0.5287474,0.34782608695652173,0.3916083916083916,0.3684210526315789,0.19922743581625013
1087,0.5287704,0.34579439252336447,0.3881118881118881,0.3657331136738056,0.1960954751108697
1088,0.52943915,0.346875,0.3881118881118881,0.36633663366336633,0.19715209121911964
1089,0.52980435,0.34796238244514105,0.3881118881118881,0.3669421487603306,0.19821185971913557
1090,0.53066605,0.3490566037735849,0.3881118881118881,0.3675496688741722,0.1992748067926156
1091,0.531545,0.3501577287066246,0.3881118881118881,0.36815920398009944,0.20034095889637535
1092,0.53180236,0.3512658227848101,0.3881118881118881,0.3687707641196013,0.20141034276624292
1093,0.5319889,0.3523809523809524,0.3881118881118881,0.36938435940099834,0.2024829854210215
1094,0.53418595,0.3535031847133758,0.3881118881118881,0.37,0.20355891416652022
1095,0.5345336,0.3546325878594249,0.3881118881118881,0.3706176961602671,0.2046381565996551
1096,0.53537446,0.3557692307692308,0.3881118881118881,0.3712374581939799,0.20572074061262172
1097,0.5353904,0.35691318327974275,0.3881118881118881,0.371859296482412,0.20680669439714067
1098,0.5355948,0.3548387096774194,0.38461538461538464,0.36912751677852346,0.2036532699906392
1099,0.5358069,0.3559870550161812,0.38461538461538464,0.36974789915966394,0.20474108521419784
1100,0.53595287,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.20583232685540792
1101,0.5373088,0.3583061889250814,0.38461538461538464,0.3709949409780776,0.20692702411475394
1102,0.5375728,0.3562091503267974,0.3811188811188811,0.3682432432432432,0.20376239490305553
1103,0.53760713,0.35737704918032787,0.3811188811188811,0.36886632825719123,0.20485900789263356
1104,0.53780353,0.35855263157894735,0.3811188811188811,0.3694915254237288,0.20595913531623516
1105,0.5379947,0.35973597359735976,0.3811188811188811,0.37011884550084895,0.20706280743507222
1106,0.53826326,0.3609271523178808,0.3811188811188811,0.3707482993197279,0.2081700548458777
1107,0.53843975,0.36212624584717606,0.3811188811188811,0.3713798977853492,0.2092809084858849
1108,0.53901833,0.36333333333333334,0.3811188811188811,0.37201365187713314,0.2103953996378974
1109,0.5411131,0.36454849498327757,0.3811188811188811,0.3726495726495727,0.21151355993545073
1110,0.5411267,0.36577181208053694,0.3811188811188811,0.3732876712328767,0.2126354213680687
1111,0.5415248,0.367003367003367,0.3811188811188811,0.37392795883361923,0.2137610162866158
1112,0.5415865,0.36824324324324326,0.3811188811188811,0.3745704467353952,0.21489037740874836
1113,0.5420213,0.3694915254237288,0.3811188811188811,0.3752151462994836,0.21602353782446593
1114,0.5421377,0.3707482993197279,0.3811188811188811,0.37586206896551727,0.21716053100176574
1115,0.54235655,0.3720136518771331,0.3811188811188811,0.3765112262521589,0.21830139079240204
1116,0.5423971,0.3732876712328767,0.3811188811188811,0.3771626297577855,0.21944615143775287
1117,0.54322267,0.3745704467353952,0.3811188811188811,0.3778162911611785,0.22059484757479675
1118,0.543476,0.3758620689655172,0.3811188811188811,0.37847222222222227,0.22174751424220132
1119,0.5438469,0.3771626297577855,0.3811188811188811,0.3791304347826087,0.22290418688652686
1120,0.54414284,0.3784722222222222,0.3811188811188811,0.3797909407665505,0.22406490136854715
1121,0.544219,0.37630662020905925,0.3776223776223776,0.3769633507853403,0.22086477741988994
1122,0.54475003,0.3776223776223776,0.3776223776223776,0.3776223776223776,0.22202797202797203
1123,0.5458166,0.37894736842105264,0.3776223776223776,0.3782837127845885,0.22319528270556688
1124,0.5466572,0.3767605633802817,0.3741258741258741,0.37543859649122807,0.21998458370657345
1125,0.5477141,0.37809187279151946,0.3741258741258741,0.3760984182776801,0.22115441734573885
1126,0.5487019,0.37943262411347517,0.3741258741258741,0.37676056338028163,0.2223284433863043
1127,0.5489725,0.37722419928825623,0.3706293706293706,0.3738977072310406,0.21910696194611157
1128,0.54952663,0.375,0.36713286713286714,0.3710247349823322,0.21587788416038642
1129,0.5499209,0.3727598566308244,0.36363636363636365,0.3681415929203539,0.21264113585707947
1130,0.54999125,0.37410071942446044,0.36363636363636365,0.36879432624113473,0.21381429269015936
1131,0.5508332,0.37184115523465705,0.36013986013986016,0.36589698046181174,0.2105680247479097
1132,0.55369896,0.37318840579710144,0.36013986013986016,0.3665480427046264,0.21174368156509846
